,open,high,low,close,adjusted_close,volume,dividend_amount
2020-12-31,4.5000,5.3240,4.4120,5.1560,4.3386,130105006,0.0000
2021-01-29,5.2340,5.6600,4.8860,5.1720,4.3521,149121133,0.0000
2021-02-26,5.2320,5.2700,4.5840,4.7460,3.9936,146852768,0.0000
2021-03-31,4.8150,5.0600,4.4030,4.8700,4.0979,171521334,0.0000
2021-04-30,4.8820,5.2280,4.6220,4.6220,4.0452,163912312,0.1900
2021-05-31,4.6160,4.8320,4.2120,4.7050,4.1178,138077916,0.0000
2021-06-30,4.7090,4.8030,4.4240,4.4700,3.9121,133504105,0.0000
2021-07-30,4.5020,4.7820,4.3390,4.3770,3.8308,114923415,0.0000
2021-08-31,4.4030,4.8390,4.3760,4.6520,4.0714,102706685,0.0000
2021-09-30,4.7000,4.8650,4.4860,4.5350,3.9690,162415518,0.0000
2021-10-29,4.5010,4.9730,4.4330,4.8840,4.2745,180664441,0.0000
2021-11-30,4.9010,5.0280,4.6760,4.8340,4.2307,118955282,0.0000
2021-12-31,4.8410,4.9200,4.6140,4.8320,4.2290,96653708,0.0000
2022-01-31,4.8470,4.9370,4.3780,4.5390,3.9725,160632786,0.0000
2022-02-28,4.5720,4.6140,3.6520,4.3640,3.8194,214537594,0.0000
2022-03-31,4.2990,4.5000,3.8990,4.4650,3.9078,242386984,0.0000
2022-04-29,4.4900,4.7970,4.3530,4.4420,4.0520,201556537,0.1900
2022-05-31,4.4410,4.8390,4.0970,4.6720,4.2618,169967443,0.0000
2022-06-30,4.6900,4.7760,4.2670,4.4520,4.0611,157619705,0.0000
2022-07-29,4.4450,5.0380,4.4090,4.9390,4.5054,157800701,0.0000
2022-08-31,4.9200,5.2100,4.7220,4.7620,4.3439,116905851,0.0000
2022-09-30,4.7330,5.0660,4.4380,4.4400,4.0502,137460551,0.0000
2022-10-31,4.4540,4.5940,4.0120,4.4250,4.0365,169119008,0.0000
2022-11-30,4.4300,4.5860,4.2890,4.5190,4.1222,149836024,0.0000
2022-12-30,4.5510,4.7780,4.5210,4.6560,4.2472,127915765,0.0000
2023-01-31,4.6750,4.9300,4.5450,4.5580,4.1578,155302623,0.0000
2023-02-28,4.5600,4.8360,4.5360,4.7760,4.3567,112155009,0.0000
2023-03-31,4.7620,5.0220,4.5310,5.0160,4.5756,208351761,0.0000
2023-04-28,5.0200,5.2260,4.9230,5.0000,4.7343,118637046,0.1900
2023-05-31,4.9760,5.0300,4.5040,4.5620,4.3196,127708463,0.0000
2023-06-30,4.5690,4.7350,4.4270,4.4760,4.2382,124528213,0.0000
2023-07-31,4.4970,4.5260,4.2080,4.2500,4.0242,126587568,0.0000
2023-08-31,4.2500,4.3740,4.0290,4.2060,3.9825,142021967,0.0000
2023-09-29,4.1760,4.2840,3.9080,3.9360,3.7269,143707002,0.0000
2023-10-31,3.9470,3.9870,3.5150,3.9700,3.7591,165544089,0.0000
2023-11-30,3.9500,4.4390,3.8960,4.3870,4.1539,163198673,0.0000
2023-12-29,4.3870,4.6420,4.3670,4.5550,4.3130,106639630,0.0000
2024-01-31,4.5750,4.6090,3.9600,4.1420,3.9219,137525791,0.0000
2024-02-29,4.1140,4.1850,3.6180,3.6790,3.4835,151147318,0.0000
2024-03-28,3.7100,3.9420,3.4520,3.6100,3.4182,204440248,0.0000
2024-04-30,3.5880,3.6890,3.4460,3.5260,3.3387,212101357,0.0000
2024-05-31,3.5550,3.9230,3.4840,3.7310,3.7310,223742766,0.1950
2024-06-28,3.7560,3.8450,3.4820,3.4990,3.4990,164833756,0.0000
2024-07-31,3.5300,3.8780,3.5040,3.8000,3.8000,173613093,0.0000
2024-08-30,3.8070,3.8810,3.6110,3.7960,3.7960,108181154,0.0000
2024-09-30,3.7800,4.1540,3.7690,4.1020,4.1020,166533252,0.0000
2024-10-31,4.0960,4.1350,3.5610,3.6120,3.6120,143890922,0.0000
2024-11-29,3.6200,3.7210,3.1820,3.4220,3.4220,204153166,0.0000
2024-12-31,3.3990,3.4400,3.0530,3.0910,3.0910,173852118,0.0000
2025-01-23,3.1110,3.2170,2.9160,2.9200,2.9200,163917442,0.0000
